primaryName,knownForTitles,averageRating
Robert Englund,"A Nightmare on Elm Street, A Nightmare on Elm Street 3: Dream Warriors, Freddy vs. Jason, A Nightmare on Elm Street 4: The Dream Master, ",5.1
David Fincher,"Se7en, Zodiac, ",7.766666667
John Ford,,7.3
Terry Gilliam,"Monty Python and the Holy Grail, Brazil, Time Bandits, ",7.525
Jean-Luc Godard,"Pierrot le Fou, First Name: Carmen, Contempt, Breathless, ",7.371428571
D.W. Griffith,"The Birth of a Nation, Intolerance: Love's Struggle Throughout the Ages, The Mother and the Law, The White Rose, ",7.1
Taylor Hackford,"An Officer and a Gentleman, Blood In, Blood Out, Dolores Claiborne, Ray, ",7.175
Curtis Hanson,"L.A. Confidential, In Her Shoes, The Hand That Rocks the Cradle, Wonder Boys, ",6.566666667
Dennis Hopper,"Blue Velvet, Waterworld, Speed, Easy Rider, ",6.066666667
John Hughes,,7.371428571
Timothy Hutton,"The Good Shepherd, Ordinary People, Beautiful Girls, ",6.8
Jim Jarmusch,"Broken Flowers, Stranger Than Paradise, ",7.8
Jean-Pierre Jeunet,"The City of Lost Children, Delicatessen, A Very Long Engagement, AmÃ©lie, ",6.9
John Landis,"Coming to America, Twilight Zone: The Movie, Blues Brothers 2000, The Blues Brothers, ",6.870588235
Fritz Lang,"Light of Day, Foxworthy's Big Night Out, ",8.05
Ang Lee,"Life of Pi, Brokeback Mountain, Lust, Caution, Crouching Tiger, Hidden Dragon, ",7.625
Spike Lee,"She's Gotta Have It, Malcolm X, Do the Right Thing, ",7.35
Richard Linklater,"Waking Life, A Scanner Darkly, ",7.15
Terrence Malick,"Badlands, Days of Heaven, The Tree of Life, The Thin Red Line, ",7.6
David Mamet,"House of Games, Glengarry Glen Ross, State and Main, Wag the Dog, ",7.125
Michael Mann,"Treasure of Matecumbe, ",7.442857143
Russ Meyer,"Roogie's Bump, ",5.866666667
Leonard Nimoy,"Star Trek VI: The Undiscovered Country, Star Trek IV: The Voyage Home, Star Trek, ",5.2
Frank Oz,"Star Wars: Episode V - The Empire Strikes Back, The Muppet Movie, Star Wars: Episode II - Attack of the Clones, The Muppet Show, ",7.133333333
Alan Parker,"When Heroes Die, Fortunata and Jacinta, ",7.042857143
Sean Penn,"Milk, Dead Man Walking, 21 Grams, Mystic River, ",7.1
Joseph L. Mankiewicz,"A Letter to Three Wives, Sleuth, All About Eve, Cleopatra, ",7.8
Wolfgang Petersen,"Das Boot, Air Force One, Enemy Mine, Outbreak, ",7.2125
Roman Polanski,"Chinatown, The Tenant, ",7.3
Sam Raimi,"The Evil Dead, Spider-Man, Army of Darkness, Darkman, ",7.288888889
Harold Ramis,"Knocked Up, Groundhog Day, Ghostbusters, Stripes, ",6.355555556
Robert Redford,"The Natural, All the President's Men, Butch Cassidy and the Sundance Kid, Ordinary People, ",7.2
John Sayles,"Men with Guns, The Brother from Another Planet, Eight Men Out, Lone Star, ",7.2
Ridley Scott,"Gladiator, Thelma & Louise, Blade Runner, ",6.768421053
Paul Verhoeven,"Du bist nicht allein, The Dance of Death, VergiÃŸ die Liebe nicht, The Big Shadow, ",7.275
John Waters,"The Life of Birds, Meerkat Manor, ",6.35
Wim Wenders,"Faraway, So Close!, Wings of Desire, Until the End of the World, Paris, Texas, ",7.6
Billy Wilder,"Sabrina, Some Like It Hot, The Apartment, Sunset Blvd., ",8.114285714
Robert Zemeckis,"Back to the Future, Contact, Forrest Gump, ",7.666666667
Jim Abrahams,"Hot Shots!, Top Secret!, Airplane!, Police Squad!, ",6.877777778
Percy Adlon,"Bagdad Cafe, CÃ©leste, Younger and Younger, Zuckerbaby, ",7.4
Robert Aldrich,"What Ever Happened to Baby Jane?, The Dirty Dozen, Kiss Me Deadly, The Big Knife, ",6.82
Irwin Allen,"The Towering Inferno, The Sea Around Us, Voyage to the Bottom of the Sea, The Time Tunnel, ",6.1
Jon Amiel,"The Core, Tune in Tomorrow..., Entrapment, Copycat, ",6.533333333
Lindsay Anderson,"Britannia Hospital, This Sporting Life, O Lucky Man!, If...., ",7.6
Paul Thomas Anderson,"Boogie Nights, Punch-Drunk Love, There Will Be Blood, ",7.55
David Anspaugh,"Assault in Paradise, ",7.5
Michelangelo Antonioni,"Le Amiche, Blow-Up, L'Avventura, The Passenger, ",7
Michael Apted,"Rome, Amazing Grace, Enigma, The World Is Not Enough, ",6.55
Gregg Araki,"Mysterious Skin, Three Bewildered People in the Night, ",6.5
Alfonso Arau,"Romancing the Stone, Â¡Three Amigos!, Like Water for Chocolate, A Walk in the Clouds, ",6.7
George Armitage,"Grosse Pointe Blank, Vigilante Force, Miami Blues, Gas! -Or- It Became Necessary to Destroy the World in Order to Save It., ",7.3
Gillian Armstrong,"My Brilliant Career, Little Women, Charlotte Gray, Not Fourteen Again, ",6.2
Jack Arnold,"With These Hands, It Came from Outer Space, The Incredible Shrinking Man, ",7
Hal Ashby,"In the Heat of the Night, Harold and Maude, Coming Home, Being There, ",5.525
Paul Auster,"Smoke, Lulu on the Bridge, The Inner Life of Martin Frost, ",6.7
John G. Avildsen,"Rocky, The Karate Kid, The Karate Kid Part III, Rocky V, ",6.128571429
Jon Avnet,"Fried Green Tomatoes, Black Swan, Up Close & Personal, Risky Business, ",7.7
John Badham,"Saturday Night Fever, WarGames, Nick of Time, Short Circuit, ",6.718181818
Stuart Baird,"Star Trek: Nemesis, Casino Royale, Superman, ",6.45
Ralph Bakshi,"Fritz the Cat, Vanilla Sky, The Lord of the Rings, Wizards, ",6.35
Michael Ballhaus,"Goodfellas, The Departed, The Age of Innocence, Bram Stoker's Dracula, ",5.1
Clive Barker,"Candyman, The Midnight Meat Train, Nightbreed, Hellraiser, ",6.733333333
Bruno Barreto,"Four Days in September, Dona Flor and Her Two Husbands, Happily Ever After, ",7.4
Paul Bartel,"Scenes from the Class Struggle in Beverly Hills, Escape from L.A., The Usual Suspects, Eating Raoul, ",5.733333333
Noah Baumbach,"The Life Aquatic with Steve Zissou, The Squid and the Whale, ",6.9
Michael Bay,"The Rock, Armageddon, ",6.975
Harold Becker,"Sea of Love, Mercury Rising, Domestic Disturbance, Malice, ",6.316666667
Jean-Jacques Beineix,"Betty Blue, Diva, IP5: L'Ã®le aux pachydermes, Roselyne and the Lions, ",7.4
Richard Benjamin,,5.92
Robert Benton,"The Iron Major, Broadway Rhythm, Death Valley, The Singing Sheriff, ",7.066666667
Bruce Beresford,"The Fringe Dwellers, Breaker Morant, Driving Miss Daisy, ",6.3
Andrew Bergman,"Blazing Saddles, It Could Happen to You, Fletch, Striptease, ",4.5
Busby Berkeley,"Varsity Show, Dames, Gold Diggers of 1935, Gold Diggers of 1937, ",7.083333333
Bernardo Bertolucci,"The Dreamers, The Last Emperor, The Conformist, Last Tango in Paris, ",7.35
Kathryn Bigelow,"Near Dark, Strange Days, The Hurt Locker, ",7.25
Antonia Bird,"Face, Care, Priest, Ravenous, ",5.4
Hart Bochner,"Die Hard, Breaking Away, Batman: Mask of the Phantasm, Supergirl, ",6.233333333
Peter Bogdanovich,"Targets, Paper Moon, Saint Jack, The Last Picture Show, ",6.771428571
Jan de Bont,"Minority Report, The Haunting, Twister, Speed, ",5.914285714
John Boorman,"The Tailor of Panama, The General, Hope and Glory, Excalibur, ",5.433333333
Danny Boyle,"28 Days Later..., Shallow Grave, Slumdog Millionaire, ",8.1
Tinto Brass,"Chi lavora Ã¨ perduto (In capo al mondo), Dropout, La vacanza, Caligula, ",5.3
Robert Bresson,"The Devil, Probably, Diary of a Country Priest, Balthazar, A Man Escaped, ",7.9
Martin Brest,"Beverly Hills Cop, Meet Joe Black, Scent of a Woman, Midnight Run, ",7.46
James L. Brooks,"Broadcast News, As Good as It Gets, Terms of Endearment, Spanglish, ",7.45
Frank Capra,"Mr. Smith Goes to Washington, It Happened One Night, Mr. Deeds Goes to Town, It's a Wonderful Life, ",8.144444444
John Cassavetes,"The Dirty Dozen, Love Streams, A Woman Under the Influence, Rosemary's Baby, ",7.1
Michael Cimino,"Heaven's Gate, Year of the Dragon, Magnum Force, The Deer Hunter, ",7.1625
Ethan Coen,"Fargo, ",7.8
Joel Coen,"Fargo, ",7.8
Chris Columbus,"Rent, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone, ",6.6875
Cameron Crowe,"Jerry Maguire, Almost Famous, Singles, Vanilla Sky, ",7.18
John Dahl,"Rounders, The Last Seduction, Red Rock West, Kill Me Again, ",7
Joe Dante,"The Howling, Small Soldiers, Innerspace, Gremlins, ",6.606666667
Frank Darabont,"The Green Mile, The Shawshank Redemption, The Mist, ",9.02
Andrew Davis,,6.154545455
Vittorio De Sica,"Miracle in Milan, Il Generale Della Rovere, Bicycle Thieves, Umberto D., ",8.3
Cecil B. DeMille,"The Greatest Show on Earth, Sunset Blvd., The Ten Commandments, Samson and Delilah, ",7
Jonathan Demme,"The Manchurian Candidate, The Silence of the Lambs, Philadelphia, ",7.833333333
Ted Demme,"Life, Blow, A Decade Under the Influence, Beautiful Girls, ",6.9
John Derek,"Knock on Any Door, Ghosts Can't Do It, The Ten Commandments, Bolero, ",3.06
Tom DiCillo,"Delirious, Living in Oblivion, Johnny Suede, ",7.5
Richard Donner,"Ladyhawke, Conspiracy Theory, Lethal Weapon, Superman, ",7.1
Griffin Dunne,"An American Werewolf in London, After Hours, Dallas Buyers Club, ",6.2
Blake Edwards,"Peter Gunn, The Pink Panther, The Pink Panther Strikes Again, Victor Victoria, ",6.483333333
Sergei M. Eisenstein,"Alexander Nevsky, Que Viva Mexico, Battleship Potemkin, Ivan the Terrible, Part I, ",8
Nora Ephron,"When Harry Met Sally..., Bewitched, You've Got Mail, ",6.25
Abel Ferrara,"Mary, New Rose Hotel, King of New York, Bad Lieutenant, ",6.55
Mike Figgis,"Leaving Las Vegas, Timecode, Stormy Monday, ",6.15
Gary Fleder,"Impostor, Kiss the Girls, Things to Do in Denver When You're Dead, Runaway Jury, ",6.7
James Foley,"Nervous Ticks, Short Cuts, Whore, Dolly Dearest, ",6.08
Milos Forman,"Amadeus, One Flew Over the Cuckoo's Nest, Hair, The People vs. Larry Flynt, ",8.18
JesÃºs Franco,"Diamonds of Kilimandjaro, Las Ãºltimas de Filipinas, Ciudad Baja (Downtown Heat), The Devil Came from Akasava, ",5.2
John Frankenheimer,"George Wallace, The Manchurian Candidate, The Island of Dr. Moreau, Seven Days in May, ",6.563636364
Stephen Frears,"Dirty Pretty Things, Dangerous Liaisons, The Queen, ",6.766666667
William Friedkin,"The French Connection, To Live and Die in L.A., The Exorcist, ",7.342857143
Brian Gibson,,5.7
Paul Michael Glaser,"The Running Man, Starsky and Hutch, Starsky & Hutch, Fiddler on the Roof, ",6.35
Christopher Guest,"This Is Spinal Tap, A Mighty Wind, Waiting for Guffman, Best in Show, ",6.2
Renny Harlin,"Die Hard 2, Deep Blue Sea, Cliffhanger, ",6.6
Hal Hartley,"Trust, Amateur, The Girl from Monday, Fay Grim, ",7.3
Howard Hawks,"Hatari!, Rio Bravo, Red River, To Have and Have Not, ",7.630769231
Todd Haynes,"Velvet Goldmine, Far from Heaven, I'm Not There, ",6.5
Brian Helgeland,"Man on Fire, A Knight's Tale, L.A. Confidential, 42, ",7.1
George Roy Hill,"Slaughterhouse-Five, The Sting, Butch Cassidy and the Sundance Kid, Slap Shot, ",7.466666667
Walter Hill,"Little Miss Rebellion, ",6.723809524
Michael Hoffman,,6.266666667
Tobe Hooper,"Spontaneous Combustion, The Texas Chainsaw Massacre 2, Poltergeist, The Texas Chain Saw Massacre, ",6.781818182
Bonnie Hunt,"Return to Me, Life with Bonnie, The Green Mile, Jumanji, ",6.9
John Huston,"A Pleasure Doing Business, The Big Brass Ring, Fourplay, ",7.171428571
Peter Hyams,"Outland, End of Days, Timecop, 2010: The Year We Make Contact, ",6.32
Peter Jackson,"Come Again, ",7.971428571
Terry Jones,,8.15
Neil Jordan,"The Crying Game, Michael Collins, Breakfast on Pluto, ",7.466666667
Lawrence Kasdan,"The Big Chill, Raiders of the Lost Ark, Wyatt Earp, Silverado, ",6.7
Elia Kazan,"A Streetcar Named Desire, America America, East of Eden, On the Waterfront, ",7.8625
Krzysztof Kieslowski,"A Short Film About Love, Three Colors: Red, Three Colors: Blue, The Double Life of VÃ©ronique, ",7.8
Neil LaBute,"In the Company of Men, The Wicker Man, Nurse Betty, ",6.3
Mimi Leder,"Deep Impact, The Peacemaker, ",6.2
Sergio Leone,"Duck, You Sucker, Once Upon a Time in the West, Once Upon a Time in America, The Good, the Bad and the Ugly, ",8.3625
Barry Levinson,"The Internecine Project, American Playhouse, Who?, ",6.89
Sidney Lumet,"Before the Devil Knows You're Dead, Network, Dog Day Afternoon, 12 Angry Men, ",7.241666667
Adrian Lyne,"Flashdance, Indecent Proposal, Jacob's Ladder, Fatal Attraction, ",6.321428571
Louis Malle,"Atlantic City, Lacombe, Lucien, Elevator to the Gallows, Au Revoir les Enfants, ",7.766666667
Luis Mandoki,"Innocent Voices, Angel Eyes, Message in a Bottle, ",6.585714286
Penny Marshall,"Big, Awakenings, A League of Their Own, Laverne & Shirley, ",6.716666667
John McTiernan,"Predator, Rollerball, Last Action Hero, Die Hard, ",7.266666667
Errol Morris,"Fast, Cheap & Out of Control, The Thin Blue Line, Standard Operating Procedure, The Fog of War: Eleven Lessons from the Life of Robert S. McNamara, ",7.2
Mike Newell,"Into the West, Harry Potter and the Goblet of Fire, Donnie Brasco, Four Weddings and a Funeral, ",7.35
Mike Nichols,"Swallow... More, A Body to Die For: A Murder Mystery Weekend, Glory Holes of San Francisco, ",7.2
Alan J. Pakula,"Sophie's Choice, To Kill a Mockingbird, All the President's Men, Presumed Innocent, ",6.2875
Sam Peckinpah,"Straw Dogs, The Wild Bunch, The Osterman Weekend, Invasion of the Body Snatchers, ",7.077777778
Sidney Poitier,"Guess Who's Coming to Dinner, In the Heat of the Night, Lilies of the Field, The Defiant Ones, ",6
Sydney Pollack,"Out of Africa, Michael Clayton, Tootsie, Eyes Wide Shut, ",6.954545455
Alex Proyas,"The Crow, Knowing, Dark City, ",7.6
Rob Reiner,"This Is Spinal Tap, All in the Family, A Few Good Men, The Wolf of Wall Street, ",7.711111111
Robert Rodriguez,"New York Undercover, Law & Order, Rebound: The Legend of Earl 'The Goat' Manigault, ",7.042857143
George A. Romero,"A Murder of Crows, Panic, ",7.157142857
Ken Russell,"The Boy Friend, The Devils, Tommy, Altered States, ",6.15
Paul Schrader,"Raging Bull, Affliction, Taxi Driver, ",6.916666667
Joel Schumacher,"8MM, The Phantom of the Opera, Phone Booth, Batman & Robin, ",5.871428571
Tony Scott,,6.733333333
Tom Shadyac,"Patch Adams, Dragonfly, The Nutty Professor, ",6.466666667
Bryan Singer,"X-Men, The Usual Suspects, Superman Returns, ",7.675
Charles Martin Smith,"The Untouchables, Never Cry Wolf, American Graffiti, ",5.4
Steven Soderbergh,"Traffic, Sex, Lies, and Videotape, Erin Brockovich, ",7
Barry Sonnenfeld,"Men in Black, Get Shorty, Wild Wild West, ",6.433333333
Ben Stiller,"There's Something About Mary, Zoolander, Tropic Thunder, ",6.35
Andrei Tarkovsky,"Stalker, The Sacrifice, Solaris, Andrei Rublev, ",8.1
Robert Towne,"Shampoo, Chinatown, Mission: Impossible, Tequila Sunrise, ",7.2
Gus Van Sant,"Paranoid Park, Elephant, My Own Private Idaho, Drugstore Cowboy, ",7.466666667
Peter Weir,"Master and Commander: The Far Side of the World, The Truman Show, Witness, ",7.3625
James Whale,"Whale On, Cold and Dark, Charlie, ",7.6
Forest Whitaker,"Battlefield Earth, The Last King of Scotland, ",5.9
Robert Young,"G.B.H., The Infinite Worlds of H.G. Wells, Hostage, Splitting Heirs, ",6.4
Steven Zaillian,"A Civil Action, Schindler's List, Searching for Bobby Fischer, ",7
Franco Zeffirelli,"La traviata, Romeo and Juliet, Hamlet, The Taming of the Shrew, ",6.4
David Zucker,"Airplane!, Scary Movie 4, The Naked Gun 2Â½: The Smell of Fear, Top Secret!, ",7.344444444
Edward Zwick,"Courage Under Fire, Shakespeare in Love, The Last Samurai, Thirtysomething, ",6.86
Paul Brickman,"True Crime, Uprising, Citizens Band, Risky Business, ",6.8
Emile Ardolino,"Dirty Dancing, Gypsy, He Makes Me Feel Like Dancin', Great Performances: Dance in America, ",6.25
Luca Bercovici,"Clean and Sober, Ghoulies, ",4.2
Marc Caro,"Delicatessen, Dante 01, Alien: Resurrection, The City of Lost Children, ",7.6
Michael Caton-Jones,"The Jackal, Basic Instinct 2, Memphis Belle, Rob Roy, ",6.7
Costa-Gavras,"Amen., The Ax, Z, Missing, ",7
George Cukor,"Les Girls, The Philadelphia Story, A Star Is Born, My Fair Lady, ",7.44
Michael Curtiz,"White Christmas, Casablanca, The Adventures of Robin Hood, The Comancheros, ",7.766666667
Roger Donaldson,"No Way Out, The World's Fastest Indian, Cocktail, Species, ",6.377777778
Stanley Donen,"The Pajama Game, Two for the Road, Charade, Singin' in the Rain, ",6.666666667
Bob Fosse,"Liza with a Z, Cabaret, Lenny, All That Jazz, ",7.15
Carl Franklin,"Devil in a Blue Dress, One False Move, Out of Time, ",6.966666667
Samuel Fuller,"Shock Corridor, Hell and High Water, Pickup on South Street, The Steel Helmet, ",7.2
Sidney J. Furie,"Night of Passion, Iron Eagle, Superman IV: The Quest for Peace, The Ipcress File, ",6.6
Lasse HallstrÃ¶m,"The Cider House Rules, My Life as a Dog, Chocolat, What's Eating Gilbert Grape, ",6.12
Amy Heckerling,"Look Who's Talking, Clueless, Fast Times at Ridgemont High, ",6.4
Arthur Hiller,"The Hospital, Silver Streak, Love Story, See No Evil, Hear No Evil, ",5.6
Agnieszka Holland,"Julie Walking Home, Europa Europa, ",6.7
Tengiz Abuladze,"Me, Grandma, Iliko and Ilarion, The Wishing Tree, Repentance, Magdana's Donkey, ",8.4
Franco Amurri,"Monkey Trouble, Da grande, Il ragazzo del pony express, Flashback, ",5.75
Ken Annakin,"Those Daring Young Men in Their Jaunty Jalopies, The Pirate Movie, The Longest Day, Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes, ",7.8
Giuliano Carnimeo,"The Case of the Bloody Iris, The Exterminators of the Year 3000, Ursus, Find a Place to Die, ",5.1
Claude Autant-Lara,"Four Bags Full, Le bon Dieu sans confession, Devil in the Flesh, The Red and the Black, ",5.5
Gabriel Axel,"Christian, The Girls Are Willing, Hagbard and Signe, Babette's Feast, ",7.8
Hector Babenco,"Lucio Flavio, Pixote, Kiss of the Spider Woman, Carandiru, ",6.9
Richard Franklin,,6.525
Erich von Stroheim,"Sunset Blvd., La Grande Illusion, The Wedding March, Blind Husbands, ",7.3
Rex Ingram,"Scaramouche, The Magician, The Three Passions, The Great Problem, ",7.8
Jack Clayton,"Dark Red Roses, ",6.6
Stuart Gordon,"The Last Affair, ",6.625
John Warren,,4.6
David Price,,4.3
Joe Johnston,"A Boy Called Hate, For Better or Worse, Se7en, ",6.385714286
Xavier Koller,"Der schwarze Tanner, Journey of Hope, Cowboy Up, ",6
Roger Young,"Woman of Desire, Inside, Fleshtone, Tarzan and the Lost City, ",5.075
Alan Myerson,"Knight Rider, The Larry Sanders Show, Hunter, Police Academy 5: Assignment: Miami Beach, ",4.9
Rachel Talalay,"Cry-Baby, Tank Girl, Freddy's Dead: The Final Nightmare, ",4.957142857
Jordan Alan,"Pipeline, Gentleman B., Terminal Bliss, ",4.9
Lynne Littman,"In Her Own Time, Number Our Days, Having Our Say: The Delany Sisters' First 100 Years, Testament, ",6.9
Chris Marker,"La JetÃ©e, 12 Monkeys, Sans Soleil, Third Side of the Coin, ",8
Rob Cohen,"Sex & the Other Man, Soundstage, ",6.466666667
Peter MacDonald,"Greenhorn, ",5.8
James Mangold,"Heavy, Walk the Line, ",6.9
Fred Zinnemann,"From Here to Eternity, High Noon, A Man for All Seasons, The Day of the Jackal, ",7.7
Philippe de Broca,"Cartouche, On Guard, The Love Game, That Man from Rio, ",5.5
Kevin Smith,"Ah My Buddha!!, ",7.490909091
Michael Powell,,7.7
David Winning,"Are You Afraid of the Dark?, Turbo: A Power Rangers Movie, Stargate: Atlantis, ",3.6
Andrew Stanton,"A Bug's Life, WALLÂ·E, Finding Nemo, ",7.2
Jay Sandrich,"Soap, The Mary Tyler Moore Show, The Cosby Show, The Golden Girls, ",6.7
Mikael Salomon,"Band of Brothers, The Abyss, Rome, ",6.133333333
George Miller,"Star Wars: Episode VI - Return of the Jedi, ",6.6
Walter Murch,"Apocalypse Now, THX 1138, The Conversation, The English Patient, ",6.7
John 'Bud' Cardos,"Secretary, Memento, Legends of the West, The Dark, ",5.8
Paul Schneider,"Lars and the Real Girl, All the Real Girls, Elizabethtown, ",5.5
Phil Alden Robinson,"Sneakers, The Sum of All Fears, Freedom Song, Field of Dreams, ",7.366666667
Lou Adler,"Terms of Endearment, Witness, The Rocky Horror Picture Show, Up in Smoke, ",7
Martha Coolidge,"Introducing Dorothy Dandridge, Valley Girl, Real Genius, Rambling Rose, ",6.5
Bill Duke,"Small Time, ",5.6
Brian Henson,"Muppet Treasure Island, Muppets from Space, Labyrinth, The Muppet Christmas Carol, ",7.35
Sammo Kam-Bo Hung,"Martial Law, The Prodigal Son, ",6.2
Spike Jonze,"Where the Wild Things Are, Three Kings, Being John Malkovich, ",7.7
Mary Lambert,,5.75
John Lasseter,"A Bug's Life, Toy Story, Toy Story 2, Cars, ",7.8
Norman Lear,"Maude, Fried Green Tomatoes, All in the Family, Mary Hartman, Mary Hartman, ",6.7
Mike Leigh,"Secrets & Lies, Naked, ",8
Garry Marshall,"Pretty Woman, Mork & Mindy, Happy Days, The Princess Diaries, ",6.46
Paul Mazursky,"Harry and Tonto, An Unmarried Woman, Moon Over Parador, Bob & Carol & Ted & Alice, ",6.433333333
Anthony Minghella,"The Talented Mr. Ripley, Truly Madly Deeply, Cold Mountain, The English Patient, ",7.4
Carl Reiner,"Ocean's Thirteen, Ocean's Eleven, The Dick Van Dyke Show, The Jerk, ",6.616666667
Guy Ritchie,"Sherlock Holmes, Lock, Stock and Two Smoking Barrels, Snatch, ",8.2
Jay Roach,"Meet the Parents, Blown Away, Austin Powers: International Man of Mystery, ",7
Joe Roth,"Tears of the Sun, The Forgotten, The Great Debaters, ",5.95
Ron Shelton,"Hollywood Homicide, Bull Durham, White Men Can't Jump, Tin Cup, ",6.52
John Singleton,"The Voice of Love, ",7.02
Jon Turteltaub,"Phenomenon, National Treasure, While You Were Sleeping, Cool Runnings, ",6.72
Mario Van Peebles,"Heartbreak Ridge, Panther, Baadasssss!, Jaws: The Revenge, ",6.7
Irwin Winkler,"Life as a House, Goodfellas, Rocky, ",5.9
Bud Yorkin,"An Evening with Fred Astaire, Blade Runner, Sanford and Son, ",4.6
Enzo Barboni,"Crime Busters, Trinity Is Still My Name, Even Angels Eat Beans, E poi lo chiamarono il magnifico, ",7.3
William A. Fraker,"Bullitt, WarGames, 1941, One Flew Over the Cuckoo's Nest, ",5.1
Karl Freund,"Key Largo, The Good Earth, Dracula, Metropolis, ",7.5
Byron Haskin,"The War of the Worlds, Arsenic and Old Lace, Man-Eater of Kumaon, The Sea Hawk, ",7.1
Bruno Nuytten,"Barocco, Camille Claudel, Jean de Florette, So Long, Stooge, ",7.3
Satyajit Ray,"Aparajito, Pather Panchali, Charulata, Nayak: The Hero, ",8.5
David O. Selznick,"Rebecca, Gone with the Wind, King Kong, Duel in the Sun, ",6.8
Stanley Kramer,"On the Beach, Guess Who's Coming to Dinner, Judgment at Nuremberg, The Defiant Ones, ",7.642857143
Jim Sheridan,"Moll Flanders, Cannes Man, This Is the Sea, Best, ",8
Majid Majidi,"The Color of Paradise, The Father, Children of Heaven, Baran, ",8.3
Mauro Bolognini,"Madamigella di Maupin, Careless, Farewell Moscow, Bell' Antonio, ",5.5
Steve Barron,"Coneheads, Mike Bassett: England Manager, Teenage Mutant Ninja Turtles, ",6.8
Tim Hunter,"News at Ten, ",6.6
Roger Spottiswoode,"Shake Hands with the Devil, 48 Hrs., Shoot to Kill, The 6th Day, ",6.05
Herbert Ross,"The Skin Game, The Gables Mystery, Keepers of Youth, ",6.78
Michael Ritchie,,6.583333333
Hark Tsui,"Once Upon a Time in China, ",6.6
Yash Chopra,"Darr, Dilwale Dulhania Le Jayenge, Veer-Zaara, ",7
Alex Cox,"Lust for Frankenstein, ",6.75
Paul Aaron,"The Octagon, Maxie, Bill & Ted's Bogus Journey, Under One Roof, ",5.1
Jon Acevski,"Freddie as F.R.O.7., ",5.3
