primaryName,knownForTitles,averageRating
Matthew Broderick,"WarGames, Ferris Bueller's Day Off, The Producers, The Cable Guy, ",6.870833333
Pierce Brosnan,"The World Is Not Enough, GoldenEye, Mamma Mia!, Tomorrow Never Dies, ",6.5
Sandra Bullock,"Miss Congeniality, Speed, ",6.257142857
Steve Buscemi,"Ghost World, Reservoir Dogs, Fargo, ",7.033333333
Nicolas Cage,"Face/Off, Leaving Las Vegas, The Rock, Lord of War, ",6.68
Neve Campbell,"Scream, Scream 2, Scream 3, ",6.430769231
Tia Carrere,"Wayne's World, Lilo & Stitch, Relic Hunter, True Lies, ",5.95
Jim Carrey,"Bruce Almighty, Ace Ventura: Pet Detective, Eternal Sunshine of the Spotless Mind, The Truman Show, ",6.5625
Phoebe Cates,"Fast Times at Ridgemont High, Gremlins 2: The New Batch, Drop Dead Fred, Gremlins, ",6.34
Charles Chaplin,"Modern Times, The Great Dictator, Monsieur Verdoux, Limelight, ",8.422222222
George Clooney,"Michael Clayton, ",5.75
Jennifer Connelly,"A Beautiful Mind, The Rocketeer, House of Sand and Fog, Requiem for a Dream, ",6.928571429
Sean Connery,"Goldfinger, Thunderball, The Untouchables, The Rock, ",6.497058824
Kevin Costner,"The Bodyguard, The Postman, Robin Hood: Prince of Thieves, Dances with Wolves, ",6.994117647
Russell Crowe,"A Beautiful Mind, Gladiator, L.A. Confidential, ",6.275
Tom Cruise,"The Last Samurai, Mission: Impossible II, Jerry Maguire, Top Gun, ",6.715384615
Jamie Lee Curtis,"Trading Places, True Lies, Freaky Friday, ",6.354166667
John Cusack,"Say Anything..., Grosse Pointe Blank, High Fidelity, 1408, ",6.836842105
Claire Danes,"The Hours, Romeo + Juliet, My So-Called Life, ",6.3625
Geena Davis,"The Long Kiss Goodnight, Thelma & Louise, Stuart Little, The Fly, ",7.366666667
Robert De Niro,"Taxi Driver, Mean Streets, Cape Fear, Raging Bull, ",7.546153846
John Denver,"Armageddon, Oh, God!, ",6.6
Johnny Depp,"Sweeney Todd: The Demon Barber of Fleet Street, Pirates of the Caribbean: At World's End, Pirates of the Caribbean: The Curse of the Black Pearl, Pirates of the Caribbean: Dead Man's Chest, ",7.1
Bo Derek,"Tarzan the Ape Man, Ghosts Can't Do It, Bolero, Tommy Boy, ",5.425
Leonardo DiCaprio,"The Departed, Titanic, The Wolf of Wall Street, ",7.176923077
Cameron Diaz,"There's Something About Mary, Vanilla Sky, Charlie's Angels, ",6.925
Michael Douglas,"Instant Dread, ",7.113888889
David Duchovny,"The X Files: I Want to Believe, Californication, The X-Files, The X Files, ",6.781818182
Clint Eastwood,"The Bridges of Madison County, Million Dollar Baby, Unforgiven, ",7.168085106
Erika Eleniak,"The Blob, Under Siege, The Beverly Hillbillies, E.T. the Extra-Terrestrial, ",5.716666667
Cary Elwes,"The Princess Bride, Robin Hood: Men in Tights, Kiss the Girls, Saw, ",6.733333333
Sherilyn Fenn,"Twin Peaks, Wild at Heart, The Wraith, Of Mice and Men, ",5.2
Ralph Fiennes,"The Constant Gardener, Schindler's List, ",6.933333333
Colin Firth,"Bridget Jones's Diary, ",6.85
Harrison Ford,"Excuse Me, The Nervous Wreck, The Mysterious Mrs. Musslewhite, The Veiled Adventure, ",7.835294118
Jodie Foster,"The Brave One, Contact, The Accused, The Silence of the Lambs, ",7.31
Michael J. Fox,"The Protector, Feast, Hollywoodland, ",6.875
Morgan Freeman,"54, The Big Hit, The Life Before This, The Last Chapter II: The War Continues, ",7.344
Richard Gere,"Shall We Dance, Pretty Woman, Chicago, The Jackal, ",6.34
Gina Gershon,"Bound, Red Heat, Showgirls, ",7.3
Mel Gibson,"The Cook, the Thief, His Wife & Her Lover, Lord of the Flies, Titanic, Hideous Kinky, ",6.806666667
Whoopi Goldberg,"The Color Purple, Sister Act 2: Back in the Habit, Ghost, Sister Act, ",7.069230769
Jeff Goldblum,"Independence Day, Jurassic Park, The Fly, ",6.927777778
Linda Hamilton,"Beauty and the Beast, Terminator 2: Judgment Day, The Terminator, Dante's Peak, ",6.772222222
Tom Hanks,"Cast Away, Saving Private Ryan, Forrest Gump, Big, ",7.21
Teri Hatcher,"Lois & Clark: The New Adventures of Superman, Desperate Housewives, Tomorrow Never Dies, Coraline, ",6.475
Ethan Hawke,"Before Sunset, Training Day, Before Sunrise, ",7.081818182
Salma Hayek,"Desperado, Wild Wild West, Frida, ",6.4
Anne Heche,"Wag the Dog, Six Days Seven Nights, John Q, Donnie Brasco, ",6.475
Dustin Hoffman,"Tootsie, Midnight Cowboy, The Graduate, Rain Man, ",7.155
Anthony Hopkins,"Hannibal, The World's Fastest Indian, Hitchcock, The Silence of the Lambs, ",7.376190476
Ron Howard,"Arrested Development, Apollo 13, Frost/Nixon, A Beautiful Mind, ",6.35
Helen Hunt,"Roaring Roads, The Sawdust Paradise, Fox Movietone Follies of 1929, Wagon Wheels, ",6.55
Elizabeth Hurley,"Drainiac!, Psyclops, ",5.875
Samuel L. Jackson,"Snakes on a Plane, Jackie Brown, Pulp Fiction, ",7.256521739
Tommy Lee Jones,"The Fugitive, No Country for Old Men, Lincoln, ",6.303703704
Milla Jovovich,"The Fifth Element, Resident Evil, ",6.8
Ashley Judd,"Heat, Double Jeopardy, De-Lovely, Bug, ",6.6
Harvey Keitel,"Bad Lieutenant, Pulp Fiction, Reservoir Dogs, ",6.890909091
Nicole Kidman,"The Others, Cold Mountain, The Hours, Moulin Rouge!, ",6.354545455
Val Kilmer,"The Saint, Kiss Kiss Bang Bang, The Doors, The Salton Sea, ",6.693333333
Nastassja Kinski,"Terminal Velocity, Cat People, Paris, Texas, Tess, ",5.75
Kevin Kline,"A Fish Called Wanda, Dave, Wild Wild West, In & Out, ",6.471428571
Diane Lane,"Stanton Blues, The Full Monty, ",6.281818182
Jude Law,"The Talented Mr. Ripley, Closer, Sky Captain and the World of Tomorrow, ",7.466666667
Heather Locklear,"Firestarter, The Perfect Man, Money Talks, Melrose Place, ",4.6
Jennifer Lopez,"One Saturday Morning, The Tigger Movie, Belle's Magical World, Lady and the Tramp 2: Scamp's Adventure, ",6.214285714
Traci Lords,"Cry-Baby, Blade, Zack and Miri Make a Porno, ",4.8
Dolph Lundgren,"Rocky IV, Universal Soldier, Johnny Mnemonic, ",5.818181818
Madonna,,5.866666667
Steve Martin,"War, Freddy Got Fingered, Final Destination, ",6.975
Matthew McConaughey,"Dallas Buyers Club, ",6.125
Ewan McGregor,"Moulin Rouge!, Trainspotting, Star Wars: Episode I - The Phantom Menace, ",6.915789474
Demi Moore,"Indecent Proposal, G.I. Jane, Charlie's Angels: Full Throttle, Striptease, ",5.84
Julianne Moore,"Far from Heaven, The Kids Are All Right, ",6.8
Bill Murray,"A Cry for Help: The Tracey Thurman Story, ",7.023809524
Mike Myers,"Austin Powers: The Spy Who Shagged Me, Austin Powers: International Man of Mystery, Austin Powers in Goldmember, The Love Guru, ",6.55
Jack Nicholson,"As Good as It Gets, Chinatown, One Flew Over the Cuckoo's Nest, The Departed, ",7.028571429
Gary Oldman,"The Dark Knight, Bram Stoker's Dracula, ",7.107142857
Al Pacino,"Dog Day Afternoon, Serpico, Dick Tracy, The Godfather, ",7.716666667
Bill Paxton,"Twister, Frailty, Aliens, Apollo 13, ",6.6
Michelle Pfeiffer,"What Lies Beneath, Hairspray, Dangerous Liaisons, One Fine Day, ",6.533333333
Ryan Phillippe,"Cruel Intentions, The Way of the Gun, Crash, Gosford Park, ",5.833333333
River Phoenix,"My Own Private Idaho, The Mosquito Coast, Stand by Me, Running on Empty, ",6.9
Natalie Portman,"V for Vendetta, LÃ©on: The Professional, Closer, Black Swan, ",7.057894737
Parker Posey,"Superman Returns, Scream 3, Dazed and Confused, Blade: Trinity, ",6.833333333
Keanu Reeves,"The Matrix, The Matrix Reloaded, Speed, Point Break, ",6.847368421
Christina Ricci,"Black Snake Moan, Speed Racer, Casper, The Addams Family, ",6.72
Molly Ringwald,"The Breakfast Club, Pretty in Pink, Sixteen Candles, For Keeps?, ",6
Tim Robbins,"The Player, Mystic River, Bull Durham, The Shawshank Redemption, ",7.1
Julia Roberts,"Pretty Woman, Erin Brockovich, My Best Friend's Wedding, ",6.21875
Mimi Rogers,"Big Nothing, The Rapture, Ginger Snaps, Lost in Space, ",5.981818182
Meg Ryan,"Sleepless in Seattle, City of Angels, You've Got Mail, When Harry Met Sally..., ",6.554545455
Winona Ryder,"Alien: Resurrection, Edward Scissorhands, Heathers, Little Women, ",7.036842105
Mia Sara,"Ferris Bueller's Day Off, Black Day Blue Night, Timecop, Legend, ",7.15
Susan Sarandon,"Thelma & Louise, Stepmom, Bull Durham, Dead Man Walking, ",6.833333333
Arnold Schwarzenegger,"Eraser, Terminator 2: Judgment Day, Predator, The 6th Day, ",6.56
Kristin Scott Thomas,"Four Weddings and a Funeral, The English Patient, Gosford Park, ",6.366666667
Steven Seagal,"Under Siege, Above the Law, Exit Wounds, On Deadly Ground, ",5.75
Joan Severance,"See No Evil, Hear No Evil, Bird on a Wire, Black Scorpion, Black Scorpion II: Aftershock, ",5.65
Charlie Sheen,"Hot Shots! Part Deux, The Three Musketeers, Wall Street, Two and a Half Men, ",6.325
Brooke Shields,"Suddenly Susan, The Blue Lagoon, Wanda Nevada, Pretty Baby, ",5.433333333
Elisabeth Shue,"Leaving Las Vegas, The Saint, Hollow Man, Adventures in Babysitting, ",6.316666667
Alicia Silverstone,"The Crush, Blast from the Past, Batman & Robin, Clueless, ",5.55
Christian Slater,"Very Bad Things, Broken Arrow, Robin Hood: Prince of Thieves, True Romance, ",6.632
Will Smith,,6.646153846
Mira Sorvino,"The Replacement Killers, Romy and Michele's High School Reunion, Mimic, Mighty Aphrodite, ",6.24
Kevin Spacey,"L.A. Confidential, The Usual Suspects, Se7en, American Beauty, ",7.469230769
Sylvester Stallone,"Rocky IV, Rocky III, Rocky, ",6.288372093
Sharon Stone,"Basic Instinct, Sliver, The Quick and the Dead, Casino, ",6.110526316
Quentin Tarantino,"From Dusk Till Dawn, Reservoir Dogs, Pulp Fiction, ",7.2
Charlize Theron,"Monster, ",7.3
Uma Thurman,"Kill Bill: Vol. 2, Kill Bill: Vol. 1, Pulp Fiction, Batman & Robin, ",6.3
Jennifer Tilly,"Liar Liar, Seed of Chucky, Bride of Chucky, Bound, ",7.166666667
John Travolta,"Get Shorty, Battlefield Earth, Hairspray, Face/Off, ",6.317241379
Liv Tyler,"The Strangers, The Lord of the Rings: The Return of the King, Armageddon, The Lord of the Rings: The Fellowship of the Ring, ",6.666666667
Skeet Ulrich,"Into the West, Scream, The Craft, Armored, ",6.925
Jean-Claude Van Damme,"Double Team, Bloodsport, Double Impact, ",5.905882353
Mark Wahlberg,"Snow Dogs, Spy Hard, George of the Jungle, Doctor Dolittle, ",7.22
Denzel Washington,"Antwone Fisher, Training Day, ",6.766666667
Sigourney Weaver,"Avatar, Galaxy Quest, Alien: Resurrection, Alien, ",7.088
Robin Williams,"Clockers, ",6.476190476
Bruce Willis,"Pulp Fiction, The Sixth Sense, Moonlighting, Die Hard, ",6.920689655
James Woods,"Daria in 'Is It Fall Yet?', ",6.6
RenÃ©e Zellweger,"Jerry Maguire, Chicago, Bridget Jones's Diary, Cold Mountain, ",5.08
Isabelle Adjani,"The Story of Adele H, Possession, The Tenant, Camille Claudel, ",5.85
Ben Affleck,"The Town, Good Will Hunting, ",7.1
Jenny Agutter,"Child's Play 2, Logan's Run, An American Werewolf in London, The Avengers, ",6.35
Alan Alda,"Everyone Says I Love You, The Four Seasons, Crimes and Misdemeanors, M*A*S*H, ",6.14
Joan Allen,"Death Race, The Crucible, Pleasantville, ",7.255555556
Karen Allen,,7.438461538
Nancy Allen,"Unusual Occupations, ",6.136363636
Kirstie Alley,"Star Trek II: The Wrath of Khan, Drop Dead Gorgeous, It Takes Two, Look Who's Talking, ",6.3
Ursula Andress,"Dr. No, The Blue Max, Casino Royale, Clash of the Titans, ",6.25
Julie Andrews,"Victor Victoria, Mary Poppins, The Princess Diaries, The Sound of Music, ",6.825
Ann-Margret,"Grumpy Old Men, Bye Bye Birdie, Tommy, The Cheap Detective, ",6.34
Gabrielle Anwar,"Scent of a Woman, Burn Notice, The Three Musketeers, The Librarian: Return to King Solomon's Mines, ",6.575
Anne Archer,"The Art of War, Short Cuts, Fatal Attraction, Patriot Games, ",6.45
Alan Arkin,"Edward Scissorhands, Glengarry Glen Ross, Little Miss Sunshine, ",6.5
David Arquette,"Scream 2, Never Been Kissed, Eight Legged Freaks, Scream 3, ",6.571428571
Rosanna Arquette,"After Hours, Desperately Seeking Susan, The Whole Nine Yards, Pulp Fiction, ",6.816666667
Sean Astin,"The Lord of the Rings: The Return of the King, The Goonies, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Fellowship of the Ring, ",6.683333333
Richard Attenborough,"Gandhi, Jurassic Park, Miracle on 34th Street, The Great Escape, ",7.542857143
Hank Azaria,"The Simpsons, The Birdcage, Mystery Men, ",6.033333333
Catherine Bach,"Enos, The Dukes of Hazzard, Thunderbolt and Lightfoot, ",7.1
Adam Baldwin,"Independence Day, Full Metal Jacket, Serenity, The Patriot, ",7.04
Alec Baldwin,"The Cooler, Glengarry Glen Ross, The Departed, ",6.86
Stephen Baldwin,"The Usual Suspects, The Flintstones in Viva Rock Vegas, Bio-Dome, Fred Claus, ",6.433333333
William Baldwin,"Fair Game, The Squid and the Whale, Sliver, Backdraft, ",5.583333333
Christian Bale,"Batman Begins, The Dark Knight, ",6.66
Ellen Barkin,"This Boy's Life, Sea of Love, Drop Dead Gorgeous, The Fan, ",6.18
Angela Bassett,"Contact, Strange Days, ",6.233333333
Sean Bean,"Game of Thrones, The Lord of the Rings: The Fellowship of the Ring, ",7.5625
Amanda Bearse,"Married... with Children, Fright Night, Give or Take an Inch, Nikki, ",7.1
Kate Beckinsale,"The Aviator, Underworld, Underworld: Evolution, Vacancy, ",6.5
Robert Beltran,"Star Trek: Voyager, Nixon, Night of the Comet, Lone Wolf McQuade, ",6.4
Tom Berenger,"Major League, Platoon, ",6.59375
Candice Bergen,"Sweet Home Alabama, Bride Wars, Murphy Brown, Miss Congeniality, ",6.966666667
Michael Biehn,"Tombstone, Aliens, The Terminator, ",7.188888889
Juliette Binoche,"Three Colors: Blue, Chocolat, The English Patient, ",7.266666667
Thora Birch,"Patriot Games, Ghost World, Hocus Pocus, ",6.4
Jacqueline Bisset,"Under the Volcano, Bullitt, Murder on the Orient Express, Casino Royale, ",5.38
Honor Blackman,"The Avengers, Jason and the Argonauts, Bridget Jones's Diary, Goldfinger, ",7.7
Linda Blair,"Savage Streets, Exorcist II: The Heretic, Hell Night, The Exorcist, ",5.8
Mel Blanc,"Buck Rogers in the 25th Century, Who Framed Roger Rabbit, Daffy Duck's Quackbusters, The Bugs Bunny/Road-Runner Movie, ",7.25
Brian Blessed,"Star Wars: Episode I - The Phantom Menace, Alexander, Tarzan, Flash Gordon, ",6.8
Helena Bonham Carter,"Sweeney Todd: The Demon Barber of Fleet Street, Fight Club, ",6.95
Ernest Borgnine,"Marty, Escape from New York, Gattaca, The Poseidon Adventure, ",7.08
Bruce Boxleitner,"Babylon 5: The Lost Tales, Babylon 5, TRON, ",6.5
Amy Brenneman,"Judging Amy, 88 Minutes, Fear, Heat, ",6.166666667
Jeff Bridges,"The Big Lebowski, ",6.666666667
Charles Bronson,"The Magnificent Seven, Death Wish, Once Upon a Time in the West, The Great Escape, ",6.704545455
Mel Brooks,"The Producers, Blazing Saddles, History of the World: Part I, Spaceballs, ",6.913636364
Clancy Brown,"The Shawshank Redemption, Warcraft, Starship Troopers, ",5.9
Yancy Butler,"Witchblade, Hard Target, ",6.2
Gabriel Byrne,"End of Days, The Usual Suspects, Stigmata, Miller's Crossing, ",6.6
Emmanuelle BÃ©art,"8 Women, Marcel Proust's Time Regained, Mission: Impossible, Nelly & Monsieur Arnaud, ",7.4
Michael Caine,"Blood, ",6.388888889
Barbara Carrera,"I, the Jury, The Island of Dr. Moreau, Lone Wolf McQuade, Never Say Never Again, ",6.4
David Caruso,"Caesar's Writers, The Disappearance of Christina, The Fifteen Minute Hamlet, ",6.1
Kim Cattrall,"Sex and the City, Star Trek VI: The Undiscovered Country, Sex and the City, ",5.7375
Richard Chamberlain,"The Last Wave, The Towering Inferno, The Thorn Birds, Shogun, ",6.65
Jackie Chan,"Police Story, Rush Hour, Rush Hour 2, Who Am I?, ",6.6
Stockard Channing,"Where the Heart Is, Grease, Six Degrees of Separation, Practical Magic, ",6.18
Chevy Chase,"Fletch, Caddyshack, Â¡Three Amigos!, National Lampoon's Vacation, ",6.313636364
Don Cheadle,"Traitor, Crash, Hotel Rwanda, ",6.866666667
Cher,"Mermaids, Moonstruck, Silkwood, ",6.9
Yun-Fat Chow,"Curse of the Golden Flower, The Replacement Killers, Crouching Tiger, Hidden Dragon, ",6.85
Glenn Close,"Fatal Attraction, ",6.983333333
James Coburn,,6.564285714
Cindy Crawford,"Fair Game, 54, 3rd Rock from the Sun, ",4.3
James Cromwell,"The General's Daughter, Babe, The Green Mile, L.A. Confidential, ",5.7
David Cronenberg,"eXistenZ, The Fly, Dead Ringers, Crash, ",6.6
Denise Crosby,"48 Hrs., Pet Sematary, Dolly Dearest, Deep Impact, ",6.125
Billy Crystal,"When Harry Met Sally..., Forget Paris, Analyze This, City Slickers, ",6.6625
Macaulay Culkin,"Home Alone 2: Lost in New York, The Good Son, My Girl, Home Alone, ",6.742857143
Tim Curry,"What I Like About You, ",6.757142857
Tony Curtis,"Krull, The Scarlet Pimpernel, The Blue Max, The Frozen Dead, ",6.87
Joan Cusack,"Working Girl, Grosse Pointe Blank, In & Out, ",6.733333333
Beverly D'Angelo,"Hair, National Lampoon's Christmas Vacation, American History X, National Lampoon's Vacation, ",6.58
Vincent D'Onofrio,"Men in Black, Full Metal Jacket, Ed Wood, The Cell, ",7.25
Willem Dafoe,"Spider-Man, Shadow of the Vampire, ",6.92
Matt Damon,"The Departed, Good Will Hunting, The Talented Mr. Ripley, ",7.208333333
Sybil Danning,"Hercules, Halloween, Amazon Women on the Moon, Battle Beyond the Stars, ",5.3
Lolita Davidovich,"Blaze, Adventures in Babysitting, Hollywood Homicide, Gods and Monsters, ",6.0875
Daniel Day-Lewis,"There Will Be Blood, Lincoln, The Last of the Mohicans, ",7.64
Rebecca De Mornay,"The Hand That Rocks the Cradle, Runaway Train, Risky Business, Wedding Crashers, ",5.711111111
Danny DeVito,"Batman Returns, Matilda, The War of the Roses, Throw Momma from the Train, ",6.445
Loren Dean,"Say Anything..., Gattaca, Enemy of the State, Space Cowboys, ",6.5
Julie Delpy,"Before Sunset, Three Colors: White, Before Sunrise, 2 Days in Paris, ",8.1
GÃ©rard Depardieu,"1492: Conquest of Paradise, Danton, The Man in the Iron Mask, Cyrano de Bergerac, ",6.38
Laura Dern,"Jurassic Park, Blue Velvet, ",7.361538462
Matt Dillon,"Drugstore Cowboy, Crash, There's Something About Mary, ",6.641666667
Walt Disney,"Lady and the Tramp, Snow White and the Seven Dwarfs, Bambi, Mary Poppins, ",7.8
Ami Dolenz,"Murder, She Wrote, Can't Buy Me Love, General Hospital, Miracle Beach, ",5
Amanda Donohoe,"Liar Liar, The Madness of King George, The Lair of the White Worm, L.A. Law, ",6.9
Brad Dourif,"One Flew Over the Cuckoo's Nest, The Lord of the Rings: The Two Towers, Dune, Alien: Resurrection, ",6.533333333
Robert Downey Jr.,"The Avengers, Iron Man, Sherlock Holmes, ",6.225
Fran Drescher,"This Is Spinal Tap, The Nanny, The Beautician and the Beast, Hotel Transylvania, ",5.066666667
Richard Dreyfuss,"The Goodbye Girl, Jaws, Close Encounters of the Third Kind, American Graffiti, ",7.216666667
Minnie Driver,"Sleepers, Good Will Hunting, The Phantom of the Opera, Grosse Pointe Blank, ",6.85
Kirsten Dunst,"Marie Antoinette, Spider-Man, Interview with the Vampire: The Vampire Chronicles, ",7.083333333
Robert Duvall,"The Apostle, Apocalypse Now, Open Range, The Godfather, ",7.032258065
Anthony Edwards,,5.657142857
Danny Elfman,"Charlie and the Chocolate Factory, Men in Black, The Nightmare Before Christmas, Corpse Bride, ",8
Sam Elliott,"Road House, The Big Lebowski, ",7.2
Robert Englund,"A Nightmare on Elm Street, A Nightmare on Elm Street 3: Dream Warriors, Freddy vs. Jason, A Nightmare on Elm Street 4: The Dream Master, ",5.8
R. Lee Ermey,"Full Metal Jacket, Mississippi Burning, Se7en, The Texas Chainsaw Massacre, ",6.825
